,month,humidity,pressure,temperature,wind,weather
274,spring,57,1023,11,8,light_rain
275,spring,57,1024,10,7,broken_clouds
276,spring,50,1026,9,7,broken_clouds
277,spring,46,1027,8,7,sky_is_clear
278,spring,45,1029,7,6,sky_is_clear
279,spring,49,1029,6,6,sky_is_clear
280,spring,49,1030,5,5,sky_is_clear
281,spring,48,1030,4,4,sky_is_clear
282,spring,48,1031,3,3,sky_is_clear
283,spring,52,1031,2,2,sky_is_clear
284,spring,52,1031,1,3,sky_is_clear
285,spring,69,1032,0,1,sky_is_clear
286,spring,74,1033,0,2,sky_is_clear
287,spring,74,1033,0,1,sky_is_clear
288,spring,48,1033,2,2,sky_is_clear
289,spring,39,1034,4,0,few_clouds
290,spring,42,1034,7,1,few_clouds
291,spring,39,1034,8,2,few_clouds
292,spring,34,1033,9,0,few_clouds
293,spring,34,1032,11,0,few_clouds
294,spring,27,1030,11,2,few_clouds
295,spring,32,1030,12,4,few_clouds
296,spring,27,1029,12,4,scattered_clouds
297,spring,37,1029,11,4,scattered_clouds
298,spring,53,1029,9,3,broken_clouds
299,spring,53,1028,10,5,broken_clouds
300,spring,50,1028,10,7,broken_clouds
301,spring,54,1028,9,5,broken_clouds
302,spring,58,1027,9,5,broken_clouds
303,spring,62,1026,9,4,broken_clouds
304,spring,66,1026,10,6,broken_clouds
305,spring,66,1025,10,7,overcast_clouds
306,spring,71,1025,10,4,overcast_clouds
307,spring,66,1024,11,4,overcast_clouds
308,spring,66,1023,11,6,overcast_clouds
309,spring,71,1023,11,7,overcast_clouds
310,spring,76,1023,11,6,broken_clouds
311,spring,76,1023,12,4,broken_clouds
312,spring,71,1022,13,5,broken_clouds
313,spring,67,1023,14,4,broken_clouds
314,spring,63,1022,15,4,broken_clouds
315,spring,46,1017,21,6,broken_clouds
316,spring,43,1017,21,6,broken_clouds
317,spring,43,1016,20,5,broken_clouds
318,spring,68,1016,19,4,broken_clouds
319,spring,68,1016,18,5,scattered_clouds
320,spring,72,1016,17,5,scattered_clouds
321,spring,68,1016,17,4,few_clouds
322,spring,68,1015,16,5,few_clouds
323,spring,72,1015,16,4,scattered_clouds
324,spring,77,1014,16,3,broken_clouds
325,spring,82,1013,15,3,mist
326,spring,77,1012,15,4,sky_is_clear
327,spring,77,1011,16,4,broken_clouds
328,spring,82,1010,16,4,broken_clouds
329,spring,82,1009,16,4,broken_clouds
330,spring,82,1009,16,4,broken_clouds
331,spring,82,1008,16,4,fog
332,spring,77,1009,18,5,broken_clouds
333,spring,64,1008,20,4,broken_clouds
334,spring,60,1008,21,5,broken_clouds
335,spring,60,1007,22,6,light_rain
336,spring,64,1006,21,4,light_intensity_drizzle
337,spring,64,1005,20,5,mist
338,spring,64,1004,19,4,moderate_rain
339,spring,73,1004,18,5,moderate_rain
340,spring,88,1004,18,2,light_rain
341,spring,93,1004,17,4,light_rain
342,spring,88,1004,16,4,mist
343,spring,77,1004,16,3,mist
344,spring,72,1004,15,3,mist
345,spring,72,1004,14,5,light_rain
346,spring,72,1005,14,7,overcast_clouds
347,spring,67,1005,13,5,overcast_clouds
348,spring,71,1005,12,7,broken_clouds
349,spring,66,1005,12,4,scattered_clouds
350,spring,66,1005,11,5,few_clouds
351,spring,62,1006,10,5,few_clouds
352,spring,58,1007,10,10,scattered_clouds
353,spring,58,1008,11,7,scattered_clouds
354,spring,54,1008,12,6,scattered_clouds
355,spring,54,1009,12,9,few_clouds
356,spring,54,1009,13,9,few_clouds
357,spring,50,1009,14,9,few_clouds
358,spring,50,1011,10,3,scattered_clouds
359,spring,50,1012,9,4,few_clouds
360,spring,47,1012,9,4,few_clouds
361,spring,50,1013,8,3,few_clouds
362,spring,54,1013,7,5,sky_is_clear
363,spring,53,1013,7,4,sky_is_clear
364,spring,57,1014,6,3,mist
365,spring,65,1014,5,2,sky_is_clear
366,spring,70,1014,5,3,scattered_clouds
367,spring,70,1014,4,1,mist
368,spring,70,1014,4,2,sky_is_clear
369,spring,66,1014,4,2,broken_clouds
370,spring,81,1016,3,0,fog
371,spring,66,1016,6,2,fog
372,spring,50,1017,12,0,broken_clouds
373,spring,54,1016,13,2,broken_clouds
374,spring,44,1015,16,2,broken_clouds
375,spring,41,1014,16,1,broken_clouds
376,spring,39,1014,17,2,broken_clouds
377,spring,42,1014,16,2,broken_clouds
378,spring,58,1014,14,3,overcast_clouds
379,spring,58,1015,13,3,broken_clouds
380,spring,67,1015,11,3,broken_clouds
381,spring,62,1015,11,3,scattered_clouds
382,spring,62,1016,9,2,scattered_clouds
383,spring,66,1016,8,1,mist
384,spring,71,1016,7,0,few_clouds
385,spring,71,1016,7,2,mist
386,spring,76,1016,7,0,fog
387,spring,81,1016,5,0,fog
